Year,School ID,School Name,Network,Governance,School Type,Community Area,Unit,School,Total,PE,PK,K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12
2011-2012,610176,John D Shoop Math-Science Technical Academy ES,Rock Island Elementary Network,,,,5930.0,John D Shoop Math-Science Technical Academy ES,,16.0,24.0,39.0,57.0,58.0,59.0,57.0,53.0,69.0,50.0,70.0,0.0,0.0,0.0,0.0
2011-2012,610207,John H Vanderpoel Elementary Magnet School,Rock Island Elementary Network,,,,6250.0,John H Vanderpoel Elementary Magnet School,,0.0,0.0,26.0,30.0,31.0,30.0,30.0,30.0,30.0,52.0,58.0,0.0,0.0,0.0,0.0
2011-2012,610016,Kate S Kellogg Elementary School,Rock Island Elementary Network,,,,4240.0,Kate S Kellogg Elementary School,,0.0,0.0,23.0,33.0,32.0,37.0,26.0,29.0,32.0,30.0,34.0,0.0,0.0,0.0,0.0
2011-2012,610368,Langston Hughes Elementary School,Rock Island Elementary Network,,,,8060.0,Langston Hughes Elementary School,,47.0,65.0,29.0,40.0,27.0,42.0,27.0,31.0,36.0,39.0,39.0,0.0,0.0,0.0,0.0
2011-2012,610128,Marcus Moziah Garvey Elementary School,Rock Island Elementary Network,,,,5420.0,Marcus Moziah Garvey Elementary School,,12.0,28.0,16.0,32.0,31.0,34.0,33.0,37.0,48.0,40.0,43.0,0.0,0.0,0.0,0.0
2011-2012,610362,Medgar Evers Elementary School,Rock Island Elementary Network,,,,7990.0,Medgar Evers Elementary School,,18.0,21.0,23.0,44.0,27.0,34.0,44.0,30.0,49.0,36.0,40.0,0.0,0.0,0.0,0.0
2011-2012,610208,Mildred I Lavizzo Elementary School,Rock Island Elementary Network,,,,6260.0,Mildred I Lavizzo Elementary School,,11.0,18.0,39.0,47.0,37.0,46.0,52.0,32.0,34.0,36.0,40.0,0.0,0.0,0.0,0.0
2011-2012,610082,Mount Greenwood Elementary School,Rock Island Elementary Network,,,,4940.0,Mount Greenwood Elementary School,,7.0,37.0,98.0,114.0,97.0,106.0,99.0,94.0,87.0,85.0,67.0,0.0,0.0,0.0,0.0
2011-2012,610086,Mount Vernon Elementary School,Rock Island Elementary Network,,,,4980.0,Mount Vernon Elementary School,,24.0,27.0,30.0,28.0,30.0,28.0,25.0,23.0,22.0,30.0,23.0,0.0,0.0,0.0,0.0
2011-2012,610027,Rudyard Kipling Elementary School,Rock Island Elementary Network,,,,4350.0,Rudyard Kipling Elementary School,,0.0,0.0,42.0,47.0,45.0,51.0,48.0,47.0,55.0,54.0,56.0,0.0,0.0,0.0,0.0
2011-2012,609895,Turner-Drew Elementary Language Academy,Rock Island Elementary Network,,,,3110.0,Turner-Drew Elementary Language Academy,,0.0,0.0,22.0,31.0,46.0,30.0,24.0,62.0,61.0,49.0,48.0,0.0,0.0,0.0,0.0
2011-2012,610553,Vivian E. Summers Alternative Elementary School,Rock Island Elementary Network,,,,8683.0,Vivian E. Summers Alternative Elementary School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,9.0,0.0,0.0,0.0,0.0
2011-2012,610032,Wendell E Green Elementary School,Rock Island Elementary Network,,,,4410.0,Wendell E Green Elementary School,,0.0,0.0,15.0,18.0,27.0,30.0,26.0,30.0,30.0,39.0,39.0,0.0,0.0,0.0,0.0
2011-2012,610281,Adam Clayton Powell Paideia Community Academy ES,Skyway Elementary Network,,,,7010.0,Adam Clayton Powell Paideia Community Academy ES,,0.0,0.0,53.0,64.0,48.0,59.0,50.0,61.0,68.0,65.0,52.0,0.0,0.0,0.0,0.0
2011-2012,610316,Amelia Earhart Options for Knowledge ES,Skyway Elementary Network,,,,7450.0,Amelia Earhart Options for Knowledge ES,,0.0,0.0,28.0,31.0,33.0,28.0,29.0,33.0,29.0,22.0,31.0,0.0,0.0,0.0,0.0
2011-2012,610171,Arnold Mireles Elementary Academy,Skyway Elementary Network,,,,5880.0,Arnold Mireles Elementary Academy,,20.0,52.0,95.0,91.0,84.0,105.0,97.0,79.0,101.0,97.0,80.0,0.0,0.0,0.0,0.0
2011-2012,609887,Arthur Dixon Elementary School,Skyway Elementary Network,,,,3040.0,Arthur Dixon Elementary School,,16.0,25.0,33.0,46.0,55.0,55.0,75.0,65.0,67.0,96.0,117.0,0.0,0.0,0.0,0.0
2011-2012,610268,Arthur R Ashe Elementary School,Skyway Elementary Network,,,,6900.0,Arthur R Ashe Elementary School,,0.0,0.0,48.0,41.0,69.0,52.0,60.0,43.0,50.0,49.0,44.0,0.0,0.0,0.0,0.0
2011-2012,609786,Avalon Park Elementary School,Skyway Elementary Network,,,,2130.0,Avalon Park Elementary School,,22.0,20.0,34.0,30.0,43.0,40.0,40.0,40.0,33.0,43.0,48.0,0.0,0.0,0.0,0.0
2011-2012,609827,Burnside Elementary Scholastic Academy,Skyway Elementary Network,,,,2520.0,Burnside Elementary Scholastic Academy,,15.0,25.0,78.0,91.0,75.0,82.0,78.0,79.0,102.0,67.0,69.0,0.0,0.0,0.0,0.0
2011-2012,609833,Charles P Caldwell Academy of Math & Science ES,Skyway Elementary Network,,,,2580.0,Charles P Caldwell Academy of Math & Science ES,,15.0,20.0,14.0,19.0,22.0,29.0,24.0,19.0,33.0,59.0,35.0,0.0,0.0,0.0,0.0
2011-2012,609813,Charles S Brownell Elementary School,Skyway Elementary Network,,,,2410.0,Charles S Brownell Elementary School,,18.0,23.0,40.0,41.0,37.0,45.0,35.0,37.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-2012,609883,Charles S Deneen Elementary School,Skyway Elementary Network,,,,3010.0,Charles S Deneen Elementary School,,16.0,22.0,67.0,61.0,63.0,57.0,45.0,53.0,56.0,59.0,51.0,0.0,0.0,0.0,0.0
2011-2012,609815,Edward A Bouchet Math & Science Academy ES,Skyway Elementary Network,,,,2430.0,Edward A Bouchet Math & Science Academy ES,,38.0,58.0,82.0,76.0,66.0,91.0,82.0,69.0,84.0,69.0,63.0,0.0,0.0,0.0,0.0
2011-2012,609862,Edward Coles Elementary Language Academy,Skyway Elementary Network,,,,2830.0,Edward Coles Elementary Language Academy,,14.0,33.0,47.0,36.0,45.0,61.0,64.0,83.0,61.0,54.0,52.0,0.0,0.0,0.0,0.0
2011-2012,610233,Elihu Yale Elementary School,Skyway Elementary Network,,,,6500.0,Elihu Yale Elementary School,,0.0,0.0,18.0,10.0,26.0,31.0,16.0,22.0,22.0,21.0,16.0,0.0,0.0,0.0,0.0
2011-2012,609916,Enrico Fermi Elementary School,Skyway Elementary Network,,,,3320.0,Enrico Fermi Elementary School,,2.0,4.0,18.0,23.0,26.0,31.0,26.0,30.0,25.0,24.0,28.0,0.0,0.0,0.0,0.0
2011-2012,610124,Harold Washington Elementary School,Skyway Elementary Network,,,,5380.0,Harold Washington Elementary School,,7.0,29.0,37.0,43.0,53.0,75.0,51.0,52.0,69.0,66.0,67.0,0.0,0.0,0.0,0.0
2011-2012,610279,Henry O Tanner Elementary School,Skyway Elementary Network,,,,6970.0,Henry O Tanner Elementary School,,11.0,20.0,42.0,29.0,39.0,60.0,41.0,52.0,58.0,50.0,47.0,0.0,0.0,0.0,0.0
2011-2012,610052,Horace Mann Elementary School,Skyway Elementary Network,,,,4610.0,Horace Mann Elementary School,,11.0,28.0,44.0,40.0,49.0,51.0,41.0,32.0,70.0,58.0,47.0,0.0,0.0,0.0,0.0
2011-2012,610103,Isabelle C O'Keeffe Elementary School,Skyway Elementary Network,,,,5180.0,Isabelle C O'Keeffe Elementary School,,29.0,30.0,71.0,67.0,47.0,66.0,36.0,62.0,62.0,58.0,46.0,0.0,0.0,0.0,0.0
2011-2012,610066,James E McDade Elementary Classical School,Skyway Elementary Network,,,,4750.0,James E McDade Elementary Classical School,,0.0,0.0,28.0,29.0,28.0,28.0,29.0,31.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-2012,610047,James Madison Elementary School,Skyway Elementary Network,,,,4570.0,James Madison Elementary School,,13.0,20.0,29.0,31.0,28.0,38.0,29.0,21.0,40.0,35.0,30.0,0.0,0.0,0.0,0.0
2011-2012,610200,James N Thorp Elementary School,Skyway Elementary Network,,,,6180.0,James N Thorp Elementary School,,21.0,29.0,39.0,39.0,37.0,47.0,49.0,43.0,64.0,40.0,41.0,0.0,0.0,0.0,0.0
2011-2012,610093,Jane A Neil Elementary School,Skyway Elementary Network,,,,5060.0,Jane A Neil Elementary School,,0.0,0.0,23.0,27.0,31.0,29.0,35.0,39.0,40.0,38.0,43.0,0.0,0.0,0.0,0.0
2011-2012,610263,John Foster Dulles Elementary School,Skyway Elementary Network,,,,6860.0,John Foster Dulles Elementary School,,12.0,21.0,72.0,67.0,70.0,70.0,56.0,54.0,53.0,27.0,35.0,0.0,0.0,0.0,0.0
2011-2012,609971,John Harvard Elementary School of Excellence,Skyway Elementary Network,,,,3800.0,John Harvard Elementary School of Excellence,,18.0,22.0,54.0,54.0,44.0,53.0,53.0,38.0,44.0,51.0,44.0,0.0,0.0,0.0,0.0
2011-2012,610130,John T Pirie Fine Arts & Academic Center ES,Skyway Elementary Network,,,,5440.0,John T Pirie Fine Arts & Academic Center ES,,12.0,27.0,38.0,49.0,56.0,54.0,46.0,46.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-2012,610218,Joseph Warren Elementary School,Skyway Elementary Network,,,,6350.0,Joseph Warren Elementary School,,17.0,22.0,18.0,34.0,32.0,34.0,23.0,34.0,36.0,35.0,44.0,0.0,0.0,0.0,0.0
2011-2012,610280,Kate S Buckingham Special Education Center,Skyway Elementary Network,,,,6980.0,Kate S Buckingham Special Education Center,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,11.0,4.0,0.0,0.0,0.0,0.0
2011-2012,610298,Lenart Elementary Regional Gifted Center,Skyway Elementary Network,,,,7240.0,Lenart Elementary Regional Gifted Center,,15.0,25.0,29.0,32.0,35.0,32.0,33.0,33.0,33.0,33.0,28.0,0.0,0.0,0.0,0.0
2011-2012,610152,Martha Ruggles Elementary School,Skyway Elementary Network,,,,5660.0,Martha Ruggles Elementary School,,10.0,23.0,34.0,44.0,36.0,45.0,46.0,45.0,44.0,52.0,38.0,0.0,0.0,0.0,0.0
2011-2012,610312,Mary E McDowell Elementary School,Skyway Elementary Network,,,,7390.0,Mary E McDowell Elementary School,,8.0,10.0,24.0,28.0,29.0,32.0,27.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-2012,609806,Myra Bradwell Communications Arts & Sciences ES,Skyway Elementary Network,,,,2340.0,Myra Bradwell Communications Arts & Sciences ES,,21.0,20.0,86.0,95.0,71.0,108.0,79.0,65.0,75.0,71.0,80.0,0.0,0.0,0.0,0.0
2011-2012,609961,Ninos Heroes Elementary Academic Center,Skyway Elementary Network,,,,3720.0,Ninos Heroes Elementary Academic Center,,0.0,0.0,40.0,32.0,45.0,53.0,57.0,49.0,48.0,59.0,52.0,0.0,0.0,0.0,0.0
2011-2012,610300,Oliver S Westcott Elementary School,Skyway Elementary Network,,,,7260.0,Oliver S Westcott Elementary School,,17.0,21.0,29.0,36.0,33.0,41.0,43.0,41.0,55.0,44.0,52.0,0.0,0.0,0.0,0.0
2011-2012,610115,Park Manor Elementary School,Skyway Elementary Network,,,,5290.0,Park Manor Elementary School,,20.0,17.0,37.0,35.0,40.0,49.0,31.0,32.0,28.0,34.0,29.0,0.0,0.0,0.0,0.0
2011-2012,610116,Parkside Elementary Community Academy,Skyway Elementary Network,,,,5300.0,Parkside Elementary Community Academy,,14.0,29.0,37.0,33.0,33.0,39.0,32.0,34.0,33.0,30.0,34.0,0.0,0.0,0.0,0.0
2011-2012,610146,Paul Revere Elementary School,Skyway Elementary Network,,,,5610.0,Paul Revere Elementary School,,12.0,13.0,30.0,26.0,34.0,29.0,35.0,37.0,30.0,31.0,42.0,1.0,0.0,0.0,0.0
2011-2012,610350,Robert A Black Magnet Elementary School,Skyway Elementary Network,,,,7860.0,Robert A Black Magnet Elementary School,,0.0,0.0,26.0,52.0,56.0,59.0,58.0,57.0,58.0,54.0,53.0,0.0,0.0,0.0,0.0
2011-2012,610530,South Shore Fine Arts Academy,Skyway Elementary Network,,,,2015.0,South Shore Fine Arts Academy,,22.0,18.0,53.0,54.0,57.0,26.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-2012,610002,Thomas Hoyne Elementary School,Skyway Elementary Network,,,,4080.0,Thomas Hoyne Elementary School,,0.0,0.0,24.0,19.0,33.0,43.0,24.0,25.0,48.0,42.0,27.0,0.0,0.0,0.0,0.0
2011-2012,610193,William K New Sullivan Elementary School,Skyway Elementary Network,,,,6100.0,William K New Sullivan Elementary School,,11.0,30.0,45.0,51.0,50.0,55.0,53.0,47.0,67.0,61.0,54.0,0.0,0.0,0.0,0.0
2011-2012,610381,Bronzeville Scholastic Academy High School,South Side High School Network,,,,7270.0,Bronzeville Scholastic Academy High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,135.0,130.0,136.0
2011-2012,609754,Chicago Military Academy High School,South Side High School Network,,,,1800.0,Chicago Military Academy High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,169.0,123.0,90.0
2011-2012,609675,Chicago Vocational Achievement Academy HS,South Side High School Network,,,,7670.0,Chicago Vocational Achievement Academy HS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,57.0,34.0,16.0
2011-2012,609674,Chicago Vocational Career Academy High School,South Side High School Network,,,,1010.0,Chicago Vocational Career Academy High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,243.0,221.0,228.0
2011-2012,610380,Daniel Hale Williams Prep School of Medicine,South Side High School Network,,,,7200.0,Daniel Hale Williams Prep School of Medicine,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,104.0,75.0,52.0,76.0
2011-2012,609751,Dr  Martin Luther King  Jr  College Prep HS,South Side High School Network,,,,1760.0,Dr  Martin Luther King  Jr  College Prep HS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,223.0,232.0,240.0
2011-2012,609736,Dyett High School,South Side High School Network,,,,1600.0,Dyett High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,101.0,85.0,69.0
2011-2012,609712,Emil G Hirsch Metropolitan High School,South Side High School Network,,,,1380.0,Emil G Hirsch Metropolitan High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,113.0,126.0,111.0
2011-2012,610297,High School of Leadership at South Shore,South Side High School Network,,,,7230.0,High School of Leadership at South Shore,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,267.0,234.0
2011-2012,609713,Hyde Park Academy High School,South Side High School Network,,,,1390.0,Hyde Park Academy High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405.0,370.0,346.0,392.0
2011-2012,609746,Kenwood Academy High School,South Side High School Network,,,,1710.0,Kenwood Academy High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,87.0,516.0,449.0,297.0,413.0
2011-2012,610552,Milburn Alternative High School,South Side High School Network,,,,8682.0,Milburn Alternative High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,7.0,3.0
2011-2012,609692,Neal F Simeon Career Academy High School,South Side High School Network,,,,1150.0,Neal F Simeon Career Academy High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,415.0,394.0,402.0,321.0
2011-2012,610323,New Millennium High School of Health at Bowen,South Side High School Network,,,,7540.0,New Millennium High School of Health at Bowen,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,162.0,203.0,227.0
2011-2012,609676,Paul Laurence Dunbar Career Academy High School,South Side High School Network,,,,1030.0,Paul Laurence Dunbar Career Academy High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,407.0,358.0,334.0
2011-2012,609743,Phillips Achievement Academy High School,South Side High School Network,,,,7960.0,Phillips Achievement Academy High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,27.0,28.0,0.0,0.0
2011-2012,609769,Ray Graham Training Center High School,South Side High School Network,,,,1950.0,Ray Graham Training Center High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,57.0,78.0
2011-2012,610547,South Shore International College Prep HS School,South Side High School Network,,,,8676.0,South Shore International College Prep HS School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.0,0.0,0.0,0.0
2011-2012,609727,Wendell Phillips Academy High School,South Side High School Network,,,,1510.0,Wendell Phillips Academy High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,193.0,83.0,133.0
2011-2012,609678,William Jones College Preparatory High School,South Side High School Network,,,,1060.0,William Jones College Preparatory High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,212.0,241.0,218.0
2011-2012,610513,Air Force Academy High School,Southwest Side High School Network,,,,1055.0,Air Force Academy High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,93.0,92.0,0.0
2011-2012,609735,Edward Tilden Career Community Academy HS,Southwest Side High School Network,,,,1590.0,Edward Tilden Career Community Academy HS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,116.0,139.0,122.0
2011-2012,609682,Ellen H Richards Career Academy High School,Southwest Side High School Network,,,,1110.0,Ellen H Richards Career Academy High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,112.0,119.0,105.0
2011-2012,610543,Eric Solorio Academy High School,Southwest Side High School Network,,,,8550.0,Eric Solorio Academy High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.0,296.0,0.0,0.0
2011-2012,609709,Gage Park High School,Southwest Side High School Network,,,,1340.0,Gage Park High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,250.0,270.0,262.0
2011-2012,609741,Gurdon S Hubbard High School,Southwest Side High School Network,,,,1670.0,Gurdon S Hubbard High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.0,520.0,306.0,393.0
2011-2012,609768,Hope College Preparatory High School,Southwest Side High School Network,,,,1940.0,Hope College Preparatory High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,151.0,150.0,117.0
2011-2012,609718,John F Kennedy High School,Southwest Side High School Network,,,,1420.0,John F Kennedy High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.0,416.0,406.0,383.0
2011-2012,609694,John Hancock College Preparatory High School,Southwest Side High School Network,,,,1200.0,John Hancock College Preparatory High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,247.0,259.0,220.0
2011-2012,609756,Marie Sklodowska Curie Metropolitan High School,Southwest Side High School Network,,,,1820.0,Marie Sklodowska Curie Metropolitan High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,963.0,754.0,800.0,806.0
2011-2012,610557,Pathways in Education,Southwest Side High School Network,,,,8687.0,Pathways in Education,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,48.0,140.0
2011-2012,609707,Paul Robeson High School,Southwest Side High School Network,,,,1320.0,Paul Robeson High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,155.0,231.0,156.0
2011-2012,610386,Peace & Education Coalition High School,Southwest Side High School Network,,,,1123.0,Peace & Education Coalition High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,26.0,47.0
2011-2012,610391,Robert Lindblom Math & Science Academy HS,Southwest Side High School Network,,,,7110.0,Robert Lindblom Math & Science Academy HS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,108.0,220.0,230.0,131.0,131.0
2011-2012,610374,Robeson Achievement Academy High School,Southwest Side High School Network,,,,7570.0,Robeson Achievement Academy High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,46.0,0.0,0.0
2011-2012,609745,Southside Occupational Academy High School,Southwest Side High School Network,,,,1700.0,Southside Occupational Academy High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,153.0
2011-2012,610506,TEAM Englewood Community Academy High School,Southwest Side High School Network,,,,8080.0,TEAM Englewood Community Academy High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,119.0,104.0,91.0
2011-2012,609715,Thomas Kelly High School,Southwest Side High School Network,,,,1400.0,Thomas Kelly High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,811.0,844.0,642.0,596.0
2011-2012,610375,Tilden Achievement Academy High School,Southwest Side High School Network,,,,7580.0,Tilden Achievement Academy High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,53.0,0.0,0.0
2011-2012,609698,William J Bogan High School,Southwest Side High School Network,,,,1230.0,William J Bogan High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.0,402.0,443.0,439.0
2011-2012,609711,William Rainey Harper High School,Southwest Side High School Network,,,,1360.0,William Rainey Harper High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,179.0,138.0,175.0
2011-2012,610334,Al Raby High School,West Side High School Network,,,,7690.0,Al Raby High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,135.0,130.0,124.0
2011-2012,610501,Austin Polytechnical Academy High School,West Side High School Network,,,,1065.0,Austin Polytechnical Academy High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,65.0,63.0,72.0
2011-2012,610555,Banner Academy West,West Side High School Network,,,,8685.0,Banner Academy West,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,72.0,48.0,18.0
2011-2012,609764,Benito Juarez Community Academy High School,West Side High School Network,,,,1890.0,Benito Juarez Community Academy High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529.0,440.0,388.0,326.0
2011-2012,610401,Clemente Achievement Academy High School,West Side High School Network,,,,7980.0,Clemente Achievement Academy High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,98.0,0.0,0.0
2011-2012,610499,Collins Academy High School,West Side High School Network,,,,1045.0,Collins Academy High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,108.0,105.0,100.0
2011-2012,609748,Consuella B York Alternative High School,West Side High School Network,,,,1730.0,Consuella B York Alternative High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,90.0,63.0,32.0
2011-2012,610378,Crane Achievement Academy High School,West Side High School Network,,,,7660.0,Crane Achievement Academy High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,88.0,0.0,0.0
2011-2012,609704,David G Farragut Career Academy High School,West Side High School Network,,,,1300.0,David G Farragut Career Academy High School,,18.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,388.0,357.0,326.0
2011-2012,610245,Frederick A Douglass Academy High School,West Side High School Network,,,,6630.0,Frederick A Douglass Academy High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,96.0,60.0,103.0
2011-2012,609693,George Westinghouse High School,West Side High School Network,,,,1160.0,George Westinghouse High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0,283.0,267.0,0.0
2011-2012,610383,Greater Lawndale High School For Social Justice,West Side High School Network,,,,7600.0,Greater Lawndale High School For Social Justice,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,103.0,101.0,71.0
2011-2012,610384,Infinity Math Science and Technology High School,West Side High School Network,,,,7680.0,Infinity Math Science and Technology High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,105.0,97.0,74.0
2011-2012,609723,John Marshall Metropolitan High School,West Side High School Network,,,,1470.0,John Marshall Metropolitan High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,192.0,148.0,195.0
2011-2012,609722,Manley Career Academy High School,West Side High School Network,,,,1460.0,Manley Career Academy High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,144.0,143.0,188.0
2011-2012,610502,Marine Military Math and Science Academy,West Side High School Network,,,,1085.0,Marine Military Math and Science Academy,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,104.0,80.0,83.0
2011-2012,610535,Mason High School,West Side High School Network,,,,8025.0,Mason High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,18.0,15.0,0.0
2011-2012,610244,Michele Clark Academic Prep Magnet High School,West Side High School Network,,,,6620.0,Michele Clark Academic Prep Magnet High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,20.0,48.0,153.0,150.0,154.0,201.0
2011-2012,610385,Multicultural Academy of Scholarship,West Side High School Network,,,,7630.0,Multicultural Academy of Scholarship,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,97.0,79.0,65.0
2011-2012,609783,Nancy B Jefferson Alternative High School,West Side High School Network,,,,2120.0,Nancy B Jefferson Alternative High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,17.0,101.0,100.0,40.0,9.0
2011-2012,609691,North-Grand High School,West Side High School Network,,,,1140.0,North-Grand High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,197.0,229.0,237.0
2011-2012,610529,Ogden International High School,West Side High School Network,,,,8083.0,Ogden International High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,103.0,156.0,107.0,91.0,0.0
2011-2012,610389,Orr Academy High School,West Side High School Network,,,,1830.0,Orr Academy High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,224.0,163.0,184.0
2011-2012,610304,Phoenix Military Academy High School,West Side High School Network,,,,7310.0,Phoenix Military Academy High School,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,153.0,72.0,98.0
2011-2012,609702,Richard T Crane Technical Preparatory HS,West Side High School Network,,,,1270.0,Richard T Crane Technical Preparatory HS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,129.0,160.0,104.0
